Nosean,True,
Nsutite,True,
Nyerereite,True,
Nephrite,False,(variety of actinolite)
Niobite,False,(synonym of columbite)
Niobite-tantalite,False,(synonym of columbite-tantalite)
Okenite,True,
Oldhamite,True,
Olgite,True,
Olivenite,True,
Olivine (a group of silicate minerals),True,
Omphacite,True,
Oneillite,True,
Oosterboschite,True,
Oppenheimerite,True,
Ordóñezite,True,
Oregonite,True,
Orpiment,True,
Orthoclase,True,
Osarizawaite,True,
Osmium,True,
Osumilite,True,
Otavite,True,
Ottrelite,True,
Otwayite,True,
Obsidian,False,(a mineraloid)
Oligoclase,False,(a mixture of albite and anorthite)
Onyx,False,(a monochromatic banded variety of chalcedony)
Opal,False,(a mineraloid)
Orthochrysotile,False,(a polytype of chrysotile)
Pääkkönenite,True,
Pabstite,True,
Painite,True,
Palladium,True,
Palygorskite,True,
Panethite,True,
Panguite,True,
Papagoite,True,
Paragonite,True,
Paralaurionite,True,
Paramelaconite,True,
Pararealgar,True,
Pargasite,True,
Parisite-(Ce),True,
Parsonsite,True,
Parthéite,True,
Pascoite,True,
Patrónite,True,
Paulingite (series of zeolites),True,
Paulscherrerite,True,
Pearceite,True,
Pecoraite,True,
Pectolite,True,
Penikisite,True,
Penroseite,True,
Pentagonite,True,
Pentlandite,True,
Perhamite,True,
Periclase,True,
Perite,True,
Perovskite,True,
Petalite,True,
Petzite,True,
Pezzottaite,True,
Pharmacolite,True,
Pharmacosiderite,True,
Phenakite,True,
Phillipsite (series of zeolites),True,
Phlogopite,True,
Phoenicochroite,True,
Phosgenite,True,
Phosphophyllite,True,
Phosphuranylite,True,
Pickeringite,True,
Picropharmacolite,True,
Piemontite,True,
Pigeonite,True,
Pinalite,True,
Pinnoite,True,
Piypite,True,
Plagioclase Na-Ca feldspar series,True,
Plancheite,True,
Platinum,True,
Plattnerite,True,
Playfairite,True,
Plumbogummite,True,
Polarite,True,
Pollucite,True,
Polybasite,True,
Polycrase,True,
Polydymite,True,
Polyhalite,True,
Portlandite,True,
Posnjakite,True,
Poudretteite,True,
Povondraite,True,
Powellite,True,
Prehnite,True,
Proustite,True,
Pseudobrookite,True,
Pseudomalachite,True,
Pseudowollastonite,True,
Pumpellyite (group of sorosilicates),True,
Purpurite,True,
Putnisite,True,
Pyrargyrite,True,
Pyrite,True,
Pyrochlore (mineral group),True,
Pyrolusite,True,
Pyromorphite,True,
Pyrope,True,
Pyrophanite,True,
Pyrophyllite,True,
Pyroxene (group of silicate minerals),True,
Pyroxferroite,True,
Pyroxmangite,True,
Pyrrhotite,True,
Palagonite,False,(basaltic volcanic glass)
Parachrysotile,False,(a polytype of chrysotile)
Pelagosite,False,(variety of aragonite)
Pericline,False,(variety of albite)
Peridot,False,(gem-quality olivine)
Perlite,False,(volcanic glass)
Phengite,False,(variety of muscovite)
Phosphorite,False,(name given to impure,massive apatite.)
Pimelite,False,("discredited mineral species")
Pitchblende,False,(a massive impure form of uraninite)
Plessite,False,(mixture of kamacite and taenite)
Potassium alum or potash alum,False,"(as a mineral, is called alum-(K))"
Psilomelane,False,(refers collectively to hard black manganese oxides)
Pumicite,False,(synonym of pumice)
Qingsongite,True,
Quartz,True,
Quenstedtite,True,
Quetzalcoatlite,True,
Quintinite,True,
Qusongite,True,
Rakovanite,True,
Rambergite,True,
Rameauite,True,
Rammelsbergite,True,
Rapidcreekite,True,
Raslakite,True,
Raspite,True,
Rastsvetaevite,True,
Realgar,True,
Reederite-(Y),True,
Reidite,True,
Reinerite,True,
Renierite,True,
Rheniite,True,
Rhodium,True,
Rhodochrosite,True,
Rhodonite,True,
Rhodplumsite,True,
Rhomboclase,True,
Richterite,True,
Rickardite,True,
Riebeckite,True,
Ringwoodite,True,
Roaldite,True,
Robertsite,True,
Rodalquilarite,True,
Romanèchite,True,
Romeite,True,
Rosasite,True,
Roscoelite,True,
Roselite,True,
