,366.3003663004,7.29,A0          ,0.118
,311.5264797508,7.94,A0          ,0.016
,241.5458937198,8.42,G8III       ,1.005
,92.7643784787,8.56,F8          ,0.602
,159.4896331738,7.52,A0          ,0.18
,130.2083333333,7.74,F2          ,0.483
,381.679389313,8.85,K1III       ,1.113
,46.3392029657,7.17,G0          ,0.617
,104.9317943337,7.64,F8          ,0.532
,462.962962963,8.27,A0          ,0.128
,116.0092807425,8.44,F2          ,0.423
,193.0501930502,8.43,A0V         ,0.007
,400,8.49,K0          ,1.18
,337.8378378378,8.09,K0          ,1.26
 ,61.8811881188,6.25,F6/F7V      ,0.526
,209.64360587,8.56,F5          ,0.521
,421.94092827,8.76,K0          ,1.01
,134.9527665317,7.76,G8IV        ,0.967
,243.3090024331,7.82,K0III       ,1.041
,286.5329512894,7.9,F8          ,0.668
,302.1148036254,8.52,G5          ,1.036
,110.7419712071,8.1,F0          ,0.342
,75.5287009063,8.75,F8          ,0.552
,192.6782273603,8.14,K0          ,0.88
,-1,8.65,K2III       ,1.349
 ,147.4926253687,6.46,K1III       ,1.176
,167.7852348993,6.73,A2          ,0.051
,84.4594594595,7.96,F2/F3V      ,0.421
,317.4603174603,8.87,A0V         ,0.081
,159.2356687898,6.59,K0          ,1.122
,1851.8518518519,8.65,M0          ,1.455
,30.3674460978,12.04,M1          ,1.473
,271.0027100271,8.42,K0          ,1.174
,295.8579881657,8.09,K1IIICN...  ,1.125
,85.7632933105,8.09,F2          ,0.455
,4166.6666666667,8.18,K5          ,1.462
,261.780104712,8.77,G5          ,1.125
,212.7659574468,7.36,A2          ,0.146
,719.4244604317,8.82,G8/K0III    ,0.979
 ,1075.2688172043,6.24,B3Ia        ,0.332
,64.308681672,7.49,G0          ,0.636
,63.1313131313,6.96,F2V         ,0.353
,358.4229390681,7.94,B2IVne+...  ,-0.023
,1234.5679012346,8.69,B8V         ,0.12
,207.0393374741,8.15,A2          ,0.134
,347.2222222222,8.45,M0          ,1.655
,617.2839506173,7.92,K0          ,1.408
,200.4008016032,7.45,A5          ,0.353
,724.6376811594,8.55,K1IV/VCN... ,1.212
,182.1493624772,7.9,K0          ,1.071
,287.3563218391,8.68,K0III       ,1.011
,65.5307994758,7.78,F8/G0V      ,0.563
,684.9315068493,8.21,Ap...       ,-0.123
,342.4657534247,8.11,A0          ,-0.019
,76.103500761,8.29,F6V         ,0.488
,115.8748551564,7.89,F0          ,0.401
,39.5413206801,8.24,G8V         ,0.78
,155.7632398754,6.8,A2          ,0.06
,355.871886121,8.18,K0          ,1.015
,103.4126163392,8.44,F5V         ,0.508
 ,69.8812019567,4.55,B9IVn       ,-0.047
,165.5629139073,7.45,A3          ,0.244
 ,302.1148036254,6.31,M4          ,1.629
,194.1747572816,8.15,Am...       ,0.316
,162.3376623377,8.27,A2          ,0.136
,48.9236790607,7.66,G5IV        ,0.741
,69.6378830084,8.59,G2V         ,0.616
